Job,Veterency,Value,Expectations,Garlic
2,1,0,0,0
0,1,0,0,0
0,0.67,1,1,0
0,0.08,1,1,0
3,7,1,1,
1,0.33,1,1,0
1,0.75,1,1,1
0,5,1,1,0
0,5,1,1,0
0,6,1,1,0
0,12.5,1,1,0
0,10,1,1,0
0,0.06,1,1,0
0,,1,1,1
0,0.33,1,0,0
0,1,1,1,0
0,3,1,1,1
0,3,1,1,1
,5,,,1
0,0.58,1,1,0
1,0.17,1,1,0
3,6,1,1,0
3,0.33,1,1,0
1,1.42,1,1,1
0,0.25,1,1,1
2,0.06,1,0,0
0,1.42,0,0,0
0,6,,,0
0,,0,0,0
0,,0,0,0
0,1.5,0,0,1
3,1,1,,0
0,4,1,1,0
0,0.01,1,1,0
,,,1,1
2,2.5,0,,
0,1,,,
0,0.08,1,1,0
3,1,1,1,0
0,4.5,1,1,0
0,1.5,1,1,0
0,1,0,0,0
1,0.5,1,1,0
3,2,1,1,0
3,1,1,1,1
3,18,1,1,0
0,0.17,1,1,0
0,0.06,1,1,0
0,0.42,1,,1
,1.67,1,0,1
0,0.17,0,1,0
0,2,1,1,0
3,0.42,1,1,1
0,0.67,1,1,0
0,1,0,1,0
0,,1,1,1
,2,0,0,0
